district,incumbent,winner,status,dem_votes,gop_votes,other_votes,dem_pct,gop_pct,other_pct,margin,swing_from_pres20,pct_of_2020_turnout
KS-02,-1,Jake LaTurner (R),Republican hold,98852,134506,,0.424,0.576,0,R+15.3,D+1,0.73
KS-03,1,Sharice Davids (D),Democratic hold,165527,128839,6928,0.549,0.428,0.023,D+12.2,D+7.7,0.75
KS-04,-1,Ron Estes (R),Republican hold,83851,144889,,0.367,0.633,0,R+26.7,R+4.9,0.7
KY-01,-1,James Comer (R),Republican hold,61701,184157,0,0.251,0.749,0,R+49.8,R+7,0.7
KY-02,-1,Brett Guthrie (R),Republican hold,66769,170487,0,0.281,0.719,0,R+43.7,R+7.1,0.67
KY-03,0,Morgan McGarvey (D),Democratic hold,160920,98637,30,0.62,0.38,0,D+24,D+1.6,0.71
KY-04,-1,Thomas Massie (R),Republican hold,79977,167541,10111,0.31,0.65,0.039,R+34,R+1.3,0.69
KY-05,-1,Hal Rogers (R),Republican hold,38549,177712,9,0.178,0.822,0,R+64.3,R+5,0.66
KY-06,-1,Andy Barr (R),Republican hold,83005,154762,9051,0.336,0.627,0.037,R+29.1,R+18.1,0.68
LA-01,-1,Steve Scalise (R),Republican hold,61467,177670,4907,0.252,0.728,0.02,R+47.6,R+8.1,0.66
LA-02,1,Troy Carter (D),Democratic hold,158120,46927,,0.771,0.229,0,D+54.2,D+1.4,0.57
LA-03,-1,Clay Higgins (R),Republican hold,44813,174864,4875,0.2,0.779,0.022,R+57.9,R+20.3,0.64
LA-04,-1,Mike Johnson (R),Republican hold,0,1,,0,1,0,R+100,R+75.9,0
LA-05,-1,Julia Letlow (R),Republican hold,54532,169021,,0.244,0.756,0,R+51.2,R+21.5,0.64
LA-06,-1,Garret Graves (R),Republican hold,,205219,30709,0,0.87,0.13,R+87,R+53.3,0.66
MA-01,1,Richard Neal (D),Democratic hold,157635,98386,378,0.615,0.384,0.001,D+23.1,D+1.5,0.65
MA-02,1,Jim McGovern (D),Democratic hold,180639,91956,276,0.662,0.337,0.001,D+32.5,D+1.8,0.69
MA-03,1,Lori Trahan (D),Democratic hold,154496,88585,220,0.635,0.364,0.001,D+27.1,R+0.2,0.65
MA-04,1,Jake Auchincloss (D),Democratic hold,201882,,6397,0.969,0,0.031,D+96.9,D+68.6,0.5
MA-05,1,Katherine Clark (D),Democratic hold,203994,71491,186,0.74,0.259,0.001,D+48.1,R+2.8,0.69
MA-06,1,Seth Moulton (D),Democratic hold,198119,110770,6192,0.629,0.352,0.02,D+27.7,D+0.2,0.7
MA-07,1,Ayanna Pressley (D),Democratic hold,151825,27129,557,0.846,0.151,0.003,D+69.5,R+2.6,0.57
MA-08,1,Stephen Lynch (D),Democratic hold,189987,82126,451,0.697,0.301,0.002,D+39.6,D+4.3,0.65
MA-09,1,Bill Keating (D),Democratic hold,197823,136347,150,0.592,0.408,0,D+18.4,D+0.3,0.73
MD-01,-1,Andy Harris (R),Republican hold,126511,159673,7174,0.431,0.544,0.024,R+11.3,D+3.1,0.71
MD-02,1,Dutch Ruppersberger (D),Democratic hold,158998,109075,361,0.592,0.406,0.001,D+18.6,R+2.1,0.68
MD-03,1,John Sarbanes (D),Democratic hold,175514,115801,287,0.602,0.397,0.001,D+20.5,R+4.8,0.7
MD-04,0,Glenn Ivey (D),Democratic hold,144168,15441,400,0.901,0.097,0.002,D+80.4,R+0.2,0.53
MD-05,1,Steny Hoyer (D),Democratic hold,182478,94000,442,0.659,0.339,0.002,D+32,R+4.3,0.66
MD-06,1,David Trone (D),Democratic hold,140295,115771,332,0.547,0.452,0.001,D+9.6,R+0.2,0.69
MD-07,1,Kweisi Mfume (D),Democratic hold,151640,32737,424,0.821,0.177,0.002,D+64.3,D+1.2,0.59
MD-08,1,Jamie Raskin (D),Democratic hold,211842,47965,4399,0.802,0.182,0.017,D+62,R+0.1,0.66
ME-01,1,Chellie Pingree (D),Democratic hold,219753,129263,160,0.629,0.37,0,D+25.9,D+3.1,0.81
ME-02,1,Jared Golden (D),Democratic hold,165136,146142,0,0.531,0.469,0,D+6.1,D+12.2,0.8
MI-01,-1,Jack Bergman (R),Republican hold,145403,233094,10102,0.374,0.6,0.026,R+22.6,R+2.8,0.84
MI-02,-1,John Moolenaar (R),Republican hold,116452,216222,6847,0.343,0.637,0.02,R+29.4,R+1.2,0.82
MI-03,0,Hillary Scholten (D),Democratic gain,185989,142229,10770,0.549,0.42,0.032,D+12.9,D+4.4,0.81
MI-04,-1,Bill Huizenga (R),Republican hold,143690,183936,10722,0.425,0.544,0.032,R+11.9,R+8,0.81
MI-05,-1,Tim Walberg (R),Republican hold,110946,198020,8292,0.35,0.624,0.026,R+27.4,R+3.3,0.78
MI-06,1,Debbie Dingell (D),Democratic hold,241759,125167,1,0.659,0.341,0,D+31.8,D+5.1,0.8
MI-07,1,Elissa Slotkin (D),Democratic hold,192809,172624,7275,0.517,0.463,0.02,D+5.4,D+4.5,0.83
MI-08,1,Dan Kildee (D),Democratic hold,178322,143850,13657,0.531,0.428,0.041,D+10.3,D+8.2,0.78
MI-09,-1,Lisa McClain (R),Republican hold,123702,238300,10920,0.332,0.639,0.029,R+30.7,R+1.3,0.8
MI-10,0,John James (R),Republican gain,157602,159202,9433,0.483,0.488,0.029,R+0.5,D+0.5,0.76
MI-11,1,Haley Stevens (D),Democratic hold,224537,141642,0,0.613,0.387,0,D+22.6,D+2.8,0.79
MI-12,1,Rashida Tlaib (D),Democratic hold,196643,72888,8046,0.708,0.263,0.029,D+44.6,R+3.9,0.72
MI-13,1,Shri Thanedar (D),Democratic hold,166650,56187,11607,0.711,0.24,0.05,D+47.1,R+2.5,0.69
MN-01,-1,Brad Finstad (R),Republican hold,125457,159621,11469,0.423,0.538,0.039,R+11.5,R+2.3,0.76
MN-02,1,Angie Craig (D),Democratic hold,165583,148576,11313,0.509,0.456,0.035,D+5.2,R+1.9,0.77
MN-03,1,Dean Phillips (D),Democratic hold,198883,134797,241,0.596,0.404,0.001,D+19.2,R+1.7,0.77
MN-04,1,Betty McCollum (D),Democratic hold,200055,95493,425,0.676,0.323,0.001,D+35.3,R+2.2,0.74
MN-05,1,Ilhan Omar (D),Democratic hold,214224,70702,3280,0.743,0.245,0.011,D+49.8,R+13.1,0.72
MN-06,-1,Tom Emmer (R),Republican hold,120852,198145,770,0.378,0.62,0.002,R+24.2,R+6.6,0.77
MN-07,-1,Michelle Fischbach (R),Republican hold,84455,204766,16645,0.276,0.669,0.054,R+39.3,R+6.2,0.77
MN-08,-1,Pete Stauber (R),Republican hold,141009,188755,316,0.427,0.572,0.001,R+14.5,R+3.2,0.78
